date,Property24,Private Property,Remax Hub,Houses for Sale,Flats to rent,Room to rent,The Parks Lifestyle Apartments,Eazi Real Estate,Property sales,Real Estate
2020-01-15,15,33,0,62,32,63,0,0,0,59
2020-01-16,14,37,0,72,31,76,0,0,0,45
2020-01-17,15,30,0,71,24,64,0,0,0,45
2020-01-18,12,32,0,74,24,53,0,0,0,33
2020-01-19,15,36,0,75,26,81,0,0,0,26
2020-01-20,18,36,0,72,30,74,0,0,0,53
2020-01-21,16,38,0,73,35,88,0,0,0,51
2020-01-22,15,35,0,66,28,75,0,0,0,51
2020-01-23,16,35,0,67,28,87,0,0,0,47
2020-01-24,13,31,0,59,23,84,0,0,0,51
2020-01-25,13,30,0,68,28,83,0,0,0,40
2020-01-26,17,30,0,79,28,70,0,0,0,48
2020-01-27,16,32,0,67,31,72,0,0,0,40
2020-01-28,15,35,0,68,26,78,0,0,0,50
2020-01-29,15,34,0,71,27,85,0,0,0,42
2020-01-30,16,32,0,64,26,79,0,0,0,51
2020-01-31,14,26,0,65,22,41,0,0,0,43
2020-02-01,12,28,0,71,23,84,0,0,0,48
2020-02-02,13,34,0,72,23,75,0,0,0,48
2020-02-03,14,33,0,72,28,65,0,0,0,69
2020-02-04,14,33,0,62,30,67,0,0,0,48
2020-02-05,15,28,0,60,23,66,0,0,0,40
2020-02-06,17,27,0,68,26,49,0,0,0,65
2020-02-07,17,30,0,60,22,52,0,0,0,46
2020-02-08,12,29,0,73,26,62,0,0,0,33
2020-02-09,18,29,0,73,22,58,0,0,0,46
2020-02-10,12,31,0,69,29,59,0,0,0,50
2020-02-11,18,29,0,66,24,60,0,0,0,58
2020-02-12,14,29,0,63,23,64,0,0,0,58
2020-02-13,14,27,0,64,25,63,0,0,0,52
2020-02-14,13,26,0,55,18,37,0,0,0,36
2020-02-15,12,31,0,76,23,48,0,0,0,40
2020-02-16,17,31,0,79,23,69,0,0,0,52
2020-02-17,17,31,0,64,27,57,0,0,0,60
2020-02-18,13,37,0,66,23,67,0,0,0,50
2020-02-19,12,35,0,67,28,57,19,0,0,45
2020-02-20,13,33,0,65,25,73,0,0,0,41
2020-02-21,14,27,0,65,25,62,0,0,0,42
2020-02-22,11,26,0,71,22,76,0,0,0,51
2020-02-23,12,28,0,73,23,52,0,0,0,37
2020-02-24,13,33,0,65,30,77,0,0,0,67
2020-02-25,14,31,0,67,30,98,0,0,0,51
2020-02-26,13,31,0,62,26,74,0,0,0,38
2020-02-27,16,26,0,62,21,72,0,0,0,25
2020-02-28,11,23,0,59,18,74,0,0,0,45
2020-02-29,9,21,0,53,16,61,0,0,0,37
2020-03-01,13,31,0,70,20,59,0,0,0,59
2020-03-02,14,30,0,62,24,61,0,0,0,62
2020-03-03,14,29,0,67,24,67,0,0,0,42
2020-03-04,14,29,0,58,22,49,0,0,0,42
2020-03-05,12,28,0,54,22,59,0,0,0,60
2020-03-06,13,29,0,58,16,56,0,0,0,31
2020-03-07,9,28,0,63,18,48,0,0,0,57
2020-03-08,12,29,0,68,19,74,0,0,0,32
2020-03-09,14,31,0,70,26,58,0,0,0,45
2020-03-10,13,29,0,57,25,64,0,0,0,51
2020-03-11,16,27,0,59,19,41,0,0,0,49
2020-03-12,11,26,0,59,19,54,0,0,0,53
2020-03-13,13,25,0,58,19,86,0,0,0,50
2020-03-14,10,28,0,64,20,61,0,0,0,51
2020-03-15,14,27,0,61,17,50,0,0,24,55
2020-03-16,11,21,0,48,20,52,0,0,0,32
2020-03-17,16,29,0,52,17,53,0,0,0,31
2020-03-18,12,28,0,51,20,73,0,0,0,39
2020-03-19,13,29,0,61,19,57,0,0,0,41
2020-03-20,16,27,0,64,18,67,0,0,0,40
2020-03-21,11,25,0,72,17,63,0,0,0,51
2020-03-22,11,24,0,68,19,73,0,0,0,35
2020-03-23,10,19,0,47,16,64,0,0,0,29
2020-03-24,6,15,0,45,11,35,0,0,0,43
2020-03-25,10,13,0,42,10,27,0,0,0,34
2020-03-26,6,11,0,40,9,0,0,0,0,31
2020-03-27,6,14,0,43,10,33,0,0,0,0
2020-03-28,9,14,0,57,10,0,0,0,0,31
2020-03-29,10,18,0,65,11,42,0,0,0,27
2020-03-30,12,21,0,55,14,33,0,0,0,37
2020-03-31,10,18,0,61,14,23,0,0,0,35
2020-04-01,11,19,0,62,14,38,0,0,0,53
2020-04-02,11,19,0,60,15,26,0,0,0,65
2020-04-03,9,19,0,64,15,22,0,0,0,31
2020-04-04,9,22,0,68,12,42,0,0,0,31
2020-04-05,9,20,0,66,13,41,0,0,0,25
2020-04-06,10,23,0,67,13,22,0,0,0,46
2020-04-07,11,26,0,71,14,39,0,0,0,21
2020-04-08,11,25,0,65,14,41,0,0,0,37
2020-04-09,9,19,0,60,11,0,0,0,0,51
2020-04-10,13,16,0,65,10,33,0,0,0,32
2020-04-11,10,22,0,72,11,23,0,0,0,36
2020-04-12,10,21,0,71,11,42,0,0,0,36
2020-04-13,9,25,0,70,13,36,0,0,0,40
2020-04-14,14,19,0,65,13,21,0,0,0,26
2020-04-15,12,17,0,62,14,26,0,0,0,25
2020-04-16,11,22,0,66,14,29,0,0,0,25
2020-04-17,11,17,0,62,14,32,0,0,0,30
2020-04-18,12,21,0,77,13,40,0,0,0,26
2020-04-19,8,22,0,75,15,40,0,0,0,24
2020-04-20,13,22,0,69,12,31,0,0,0,45
2020-04-21,9,22,0,59,12,25,0,0,0,39
