date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2019-06-05,0,9,6,74,19,60,0,0,0,27
2019-06-06,0,13,4,89,18,62,19,0,0,34
2019-06-07,0,8,0,100,19,51,0,0,0,27
2019-06-08,0,9,8,73,18,85,0,0,0,25
2019-06-09,0,14,6,82,24,75,0,0,0,39
2019-06-10,0,10,6,66,17,62,0,0,0,30
2019-06-11,0,9,5,69,18,79,17,0,0,33
2019-06-12,0,12,4,68,20,62,0,0,0,24
2019-06-13,0,10,5,69,21,52,0,0,0,28
2019-06-14,0,14,0,67,24,77,0,0,0,26
2019-06-15,0,18,9,73,19,72,19,0,0,40
2019-06-16,0,8,6,72,22,55,0,0,0,48
2019-06-17,0,15,8,74,20,100,0,0,0,44
2019-06-18,0,15,7,71,27,68,21,0,0,31
2019-06-19,0,12,7,75,26,73,15,0,0,16
2019-06-20,0,9,0,80,23,73,17,0,0,27
2019-06-21,0,14,0,65,20,64,18,0,0,29
2019-06-22,0,9,7,83,22,91,20,0,0,21
2019-06-23,0,14,8,74,27,78,0,0,0,36
2019-06-24,0,11,7,68,21,60,25,0,0,31
2019-06-25,0,12,5,72,28,64,32,0,0,24
2019-06-26,0,14,6,79,25,58,17,15,0,32
2019-06-27,0,16,9,70,18,59,18,0,0,32
2019-06-28,0,12,5,67,24,65,0,0,0,30
2019-06-29,0,13,9,79,30,70,0,0,0,31
2019-06-30,0,11,12,79,18,48,0,0,0,41
2019-07-01,0,10,3,57,14,63,14,16,0,25
2019-07-02,0,7,5,45,14,56,18,0,0,19
2019-07-03,0,10,3,45,16,66,13,0,0,18
2019-07-04,0,9,4,53,15,52,17,0,0,23
2019-07-05,0,8,5,45,14,62,17,0,0,30
2019-07-06,0,12,5,49,19,58,0,0,0,31
2019-07-07,0,6,7,55,11,64,0,0,0,51
2019-07-08,0,9,0,47,15,67,14,0,0,29
2019-07-09,0,6,4,48,13,74,13,0,0,22
2019-07-10,0,7,3,49,14,59,0,0,0,27
2019-07-11,0,9,4,46,17,46,12,0,0,28
2019-07-12,0,8,5,52,13,61,0,0,0,17
2019-07-13,0,7,5,50,15,69,0,0,0,44
2019-07-14,0,8,5,53,15,63,16,0,0,45
2019-07-15,0,6,3,49,15,52,18,0,0,20
2019-07-16,0,8,4,48,13,59,15,0,0,26
2019-07-17,0,8,8,45,13,56,19,0,0,32
2019-07-18,0,10,3,46,13,59,16,0,0,29
2019-07-19,0,8,4,46,13,69,19,0,0,25
2019-07-20,0,8,5,53,16,71,0,0,0,17
2019-07-21,0,9,6,59,14,58,0,0,0,45
2019-07-22,0,8,3,50,16,65,13,0,0,34
2019-07-23,0,7,5,53,16,51,0,0,0,34
2019-07-24,0,7,4,56,18,60,15,0,0,24
2019-07-25,0,11,5,55,15,61,0,0,0,26
2019-07-26,0,7,4,53,17,66,0,0,0,25
2019-07-27,0,8,0,53,15,61,18,0,0,27
2019-07-28,0,13,5,60,17,62,0,0,0,41
2019-07-29,0,8,4,50,15,66,17,0,0,28
2019-07-30,0,9,0,49,15,39,0,0,0,32
2019-07-31,0,8,3,50,18,71,0,0,0,36
2019-08-01,0,7,4,47,12,62,0,0,0,31
2019-08-02,0,7,7,47,12,44,21,0,0,41
2019-08-03,0,6,0,48,15,55,18,0,0,34
2019-08-04,0,10,5,54,18,70,0,0,0,29
2019-08-05,0,8,5,48,17,58,13,0,0,19
2019-08-06,0,9,4,44,14,36,13,0,0,28
2019-08-07,0,7,6,50,13,53,23,0,0,29
2019-08-08,0,7,5,46,11,61,14,0,0,29
2019-08-09,0,10,4,47,15,48,0,0,0,28
2019-08-10,0,9,6,53,14,44,0,0,0,26
2019-08-11,0,9,6,45,14,59,0,0,0,47
2019-08-12,0,7,4,49,15,62,18,0,0,44
2019-08-13,0,8,6,53,15,63,14,0,0,29
2019-08-14,0,7,5,50,16,54,19,0,0,33
2019-08-15,0,8,3,44,16,70,18,0,0,28
2019-08-16,0,8,6,47,14,57,14,0,0,28
2019-08-17,0,7,6,51,17,61,18,0,0,53
2019-08-18,0,7,9,52,17,63,0,0,0,52
2019-08-19,0,7,5,49,18,68,13,0,0,45
2019-08-20,0,6,6,50,16,67,16,0,0,32
2019-08-21,0,8,6,49,19,58,13,0,0,40
2019-08-22,0,8,4,52,16,58,14,0,0,32
2019-08-23,0,7,6,41,15,54,17,0,0,26
2019-08-24,0,6,7,57,16,67,22,0,0,36
2019-08-25,0,7,4,51,15,76,0,0,0,53
2019-08-26,0,9,4,48,17,57,17,0,0,25
2019-08-27,0,9,3,46,16,70,21,0,0,29
2019-08-28,0,5,3,44,13,68,17,0,0,28
2019-08-29,0,6,0,47,19,63,12,0,0,36
