date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2019-08-03,51,0,29,14,10,10,73,26,22,0
2019-08-04,44,0,26,9,10,9,48,21,17,0
2019-08-05,33,0,13,7,12,13,41,12,7,0
2019-08-06,47,0,16,8,11,10,38,11,11,0
2019-08-07,33,0,21,4,11,9,50,14,8,0
2019-08-08,40,0,27,9,12,16,58,16,20,0
2019-08-09,52,0,29,10,14,12,61,19,26,0
2019-08-10,44,5,30,6,12,0,48,15,17,0
2019-08-11,39,0,25,5,13,15,44,19,13,0
2019-08-12,28,0,16,6,11,10,37,9,6,0
2019-08-13,37,0,15,5,12,8,43,9,7,0
2019-08-14,30,0,23,4,10,8,42,12,5,0
2019-08-15,35,0,25,6,10,8,60,13,9,0
2019-08-16,55,0,33,6,13,11,69,19,17,0
2019-08-17,44,0,29,5,10,11,57,16,30,0
2019-08-18,37,0,24,5,14,7,49,17,17,0
2019-08-19,27,0,16,6,11,13,32,10,6,0
2019-08-20,43,0,15,8,13,10,42,10,8,0
2019-08-21,33,0,23,6,12,15,47,14,5,0
2019-08-22,33,0,19,6,12,8,44,15,9,0
2019-08-23,66,0,34,10,14,13,80,24,20,0
2019-08-24,55,0,35,10,10,10,59,20,20,0
2019-08-25,53,0,24,6,14,7,54,17,11,0
2019-08-26,28,0,17,7,12,14,39,15,10,0
2019-08-27,52,0,17,6,15,11,44,11,10,0
2019-08-28,41,0,21,6,14,10,49,15,12,0
2019-08-29,44,0,24,6,14,12,44,9,10,0
2019-08-30,59,0,38,11,9,12,90,24,28,0
2019-08-31,58,0,33,9,11,16,62,20,25,0
2019-09-01,51,0,24,8,14,16,57,20,16,0
2019-09-02,30,0,15,8,9,8,37,10,11,0
2019-09-03,45,0,16,6,11,8,41,15,10,0
2019-09-04,38,0,18,7,14,13,43,13,10,0
2019-09-05,43,0,18,6,12,10,47,13,14,0
2019-09-06,55,0,26,9,9,10,70,22,22,0
2019-09-07,57,0,29,11,16,11,59,19,24,0
2019-09-08,46,4,27,8,13,11,54,14,16,0
2019-09-09,23,0,17,7,13,12,36,10,8,0
2019-09-10,41,0,20,5,10,11,40,9,12,0
2019-09-11,31,0,17,6,13,9,50,10,11,0
2019-09-12,38,0,20,6,14,11,49,16,10,0
2019-09-13,58,0,30,8,14,11,67,24,13,0
2019-09-14,45,0,23,7,12,8,58,21,31,0
2019-09-15,47,0,16,9,11,7,52,16,19,0
2019-09-16,28,0,15,6,13,7,28,13,6,0
2019-09-17,43,0,18,5,12,12,40,13,6,0
2019-09-18,29,0,20,7,9,10,41,14,7,0
2019-09-19,36,0,25,7,10,9,45,18,13,0
2019-09-20,52,0,30,12,8,10,61,24,23,0
2019-09-21,46,0,25,9,8,8,54,22,20,0
2019-09-22,49,0,25,10,12,14,59,22,17,0
2019-09-23,38,0,21,9,15,13,43,20,13,0
2019-09-24,47,0,27,11,17,10,47,14,20,0
2019-09-25,36,0,22,4,10,9,48,14,19,0
2019-09-26,47,0,26,9,12,11,59,12,19,0
2019-09-27,60,0,35,9,9,16,73,29,24,0
2019-09-28,56,0,32,13,12,9,52,23,26,0
2019-09-29,45,0,26,5,12,8,69,16,26,0
2019-09-30,28,0,16,6,11,10,46,13,17,0
2019-10-01,47,0,20,5,11,9,45,15,15,0
2019-10-02,33,0,20,5,11,7,40,11,13,0
2019-10-03,38,0,21,6,8,11,44,12,14,0
2019-10-04,56,0,32,10,12,8,64,19,20,0
2019-10-05,48,0,30,8,9,10,47,18,21,0
2019-10-06,50,0,22,10,15,12,45,13,17,0
2019-10-07,25,0,16,7,10,11,32,12,6,0
2019-10-08,38,3,16,7,11,9,35,8,10,0
2019-10-09,29,0,16,7,12,9,35,7,15,0
2019-10-10,33,0,20,9,10,13,42,10,17,0
2019-10-11,48,0,24,11,9,14,58,21,35,0
2019-10-12,47,0,31,5,11,12,47,17,34,0
2019-10-13,41,0,23,8,12,9,46,14,15,0
2019-10-14,29,0,16,6,11,12,39,5,15,0
2019-10-15,42,0,13,9,11,8,47,7,16,0
2019-10-16,34,3,20,8,11,8,48,12,14,0
2019-10-17,44,0,19,8,10,14,44,16,14,0
2019-10-18,55,0,25,13,9,10,61,23,26,0
2019-10-19,49,0,25,11,11,12,47,19,28,0
2019-10-20,42,0,18,8,12,9,45,13,19,0
2019-10-21,27,0,13,7,13,9,27,10,10,0
2019-10-22,40,0,17,8,12,14,31,12,13,0
2019-10-23,35,0,16,13,12,13,35,9,13,0
2019-10-24,46,0,19,14,13,17,53,20,20,0
2019-10-25,80,0,33,19,16,9,84,31,44,0
2019-10-26,65,0,30,12,11,13,53,19,42,0
2019-10-27,44,0,21,11,13,8,54,14,29,0
2019-10-28,34,0,16,8,13,7,39,9,18,0
2019-10-29,44,0,17,9,12,9,33,11,14,0
2019-10-30,44,0,20,8,14,11,37,11,6,0
2019-10-31,56,0,20,9,8,13,59,11,17,0
2019-11-01,69,0,27,16,10,14,70,20,23,0
2019-11-02,48,0,24,12,9,6,55,8,30,0
2019-11-03,59,0,20,10,15,6,52,19,22,0
2019-11-04,39,0,19,7,12,10,40,11,11,0
2019-11-05,46,0,16,7,15,12,29,16,8,0
2019-11-06,31,0,14,9,10,11,38,12,14,0
2019-11-07,39,0,19,9,12,16,38,16,7,0
2019-11-08,100,0,27,12,12,9,57,19,15,0
2019-11-09,79,0,27,15,12,11,44,20,27,0
2019-11-10,56,0,23,11,15,11,45,16,22,0
2019-11-11,37,0,16,7,14,12,32,7,16,0
2019-11-12,44,0,16,9,12,12,34,11,14,0
2019-11-13,38,0,18,6,14,12,37,13,14,0
2019-11-14,44,0,21,8,17,10,41,12,11,0
2019-11-15,58,0,28,8,11,8,62,15,33,0
2019-11-16,56,0,27,10,12,8,57,19,34,0
2019-11-17,52,0,20,12,16,11,49,16,14,0
2019-11-18,31,0,14,9,10,7,28,13,10,0
2019-11-19,47,0,17,8,14,12,31,10,9,0
2019-11-20,45,0,22,6,14,14,46,18,14,0
2019-11-21,44,0,22,11,12,11,37,13,13,0
2019-11-22,62,0,30,14,14,12,65,20,20,0
2019-11-23,56,0,27,12,13,13,54,16,23,0
2019-11-24,55,0,24,14,13,7,52,17,24,0
2019-11-25,40,0,20,8,13,14,46,16,24,0
2019-11-26,59,0,24,13,14,12,59,15,15,6
2019-11-27,53,0,27,11,14,15,65,9,22,0
2019-11-28,56,0,26,13,11,12,59,17,27,0
2019-11-29,77,0,42,17,9,19,93,19,50,0
2019-11-30,69,0,33,13,9,17,67,17,28,0
2019-12-01,62,0,29,10,13,9,52,16,29,0
2019-12-02,46,0,18,9,12,9,40,14,10,0
2019-12-03,62,0,22,11,13,15,41,13,17,0
2019-12-04,46,0,21,10,15,8,57,18,17,0
2019-12-05,55,0,27,8,14,9,62,16,14,0
2019-12-06,69,0,33,10,11,7,76,21,20,0
2019-12-07,49,0,27,11,13,11,51,17,22,0
2019-12-08,61,0,22,10,15,10,60,18,19,0
2019-12-09,43,0,25,10,17,6,49,11,10,0
2019-12-10,67,0,18,9,10,11,54,13,13,0
2019-12-11,42,0,20,13,13,15,47,9,12,0
2019-12-12,54,0,24,14,13,15,57,16,14,0
2019-12-13,68,0,29,15,11,13,77,20,18,0
2019-12-14,65,0,30,15,13,14,61,23,23,0
2019-12-15,63,0,27,21,18,18,64,19,28,0
2019-12-16,58,0,28,21,14,12,53,17,21,0
2019-12-17,65,0,20,9,18,8,42,12,11,0
2019-12-18,50,0,23,12,17,17,52,18,13,0
2019-12-19,52,0,24,16,21,12,66,20,18,0
2019-12-20,70,0,31,17,23,14,83,25,20,0
2019-12-21,59,0,27,12,22,17,66,24,26,0
2019-12-22,58,0,23,20,22,20,49,21,23,0
2019-12-23,62,0,25,22,39,26,49,21,10,0
2019-12-24,66,0,32,29,46,33,62,15,21,0
2019-12-25,53,0,41,26,29,23,68,17,14,0
2019-12-26,47,0,29,14,13,14,55,17,29,0
2019-12-27,54,0,25,14,10,12,45,17,18,0
2019-12-28,45,0,22,11,11,11,46,17,14,0
2019-12-29,55,0,19,16,14,10,62,19,14,0
2019-12-30,49,0,25,15,19,19,45,21,15,0
2019-12-31,67,0,32,28,17,22,63,14,27,0
2020-01-01,71,0,50,12,16,14,78,33,24,0
2020-01-02,31,0,12,6,8,11,48,15,12,0
2020-01-03,30,0,14,6,6,7,52,16,14,0
2020-01-04,30,0,16,5,7,10,44,20,12,0
2020-01-05,31,0,14,5,7,7,47,14,14,0
2020-01-06,17,0,12,4,8,8,34,16,9,0
2020-01-07,26,0,13,5,7,9,36,12,8,0
2020-01-08,21,0,14,4,7,8,35,10,7,0
2020-01-09,25,0,13,4,9,10,40,11,8,0
2020-01-10,30,0,15,5,8,7,43,19,14,0
2020-01-11,25,0,15,6,8,11,48,19,14,0
2020-01-12,30,0,11,9,10,13,37,16,19,0
2020-01-13,16,2,9,3,9,9,25,8,7,0
2020-01-14,24,0,9,5,8,10,33,8,8,0
2020-01-15,19,0,9,4,8,8,36,11,6,0
2020-01-16,21,0,10,5,8,10,37,7,7,0
2020-01-17,27,0,15,4,9,5,51,15,8,0
2020-01-18,28,0,14,5,8,10,39,20,16,0
2020-01-19,25,0,9,5,9,7,39,14,10,0
2020-01-20,13,0,6,4,9,9,26,9,7,0
2020-01-21,25,0,9,4,9,11,36,10,9,0
2020-01-22,20,0,10,4,8,5,36,11,6,0
2020-01-23,23,0,11,4,8,12,42,10,8,0
2020-01-24,37,0,20,4,9,9,62,19,20,0
2020-01-25,31,0,19,7,7,6,46,14,22,0
2020-01-26,27,0,11,6,9,14,44,13,11,0
2020-01-27,19,0,11,4,8,9,33,11,8,0
2020-01-28,26,0,12,4,9,8,34,10,8,0
2020-01-29,21,0,13,4,7,7,39,13,8,0
2020-01-30,29,0,13,5,8,10,43,13,13,0
2020-01-31,40,0,23,5,7,10,70,21,17,0
2020-02-01,30,0,19,6,7,10,54,18,20,0
2020-02-02,30,0,12,5,8,10,48,19,16,0
2020-02-03,18,0,12,4,8,8,33,11,6,0
2020-02-04,31,0,9,4,8,11,38,8,13,0
2020-02-05,22,0,10,4,9,9,35,11,11,0
2020-02-06,23,1,10,5,8,8,40,9,15,0
2020-02-07,35,0,16,4,7,10,61,20,33,0
2020-02-08,30,0,14,7,10,14,40,16,45,0
2020-02-09,24,0,12,5,9,13,40,14,23,0
2020-02-10,17,2,8,4,8,9,34,9,10,0
2020-02-11,31,0,9,5,10,15,35,9,9,0
2020-02-12,23,0,11,5,7,9,36,10,9,0
2020-02-13,23,0,11,6,10,12,43,12,20,0
