date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2019-11-14,0,8,57,27,0,0,0,67,0,0
2019-11-15,0,0,80,31,0,0,0,69,0,0
2019-11-16,0,0,34,43,0,0,0,51,0,0
2019-11-17,0,0,25,30,0,0,0,42,0,0
2019-11-18,0,0,27,18,0,0,0,53,0,0
2019-11-19,0,0,23,21,0,0,0,80,0,0
2019-11-20,0,0,28,72,0,0,0,66,0,0
2019-11-21,0,7,27,26,0,0,0,56,0,0
2019-11-22,7,0,38,38,0,0,0,67,0,0
2019-11-23,0,0,40,35,0,0,0,53,0,0
2019-11-24,0,0,34,35,0,0,0,54,0,0
2019-11-25,0,0,42,29,0,0,0,52,0,0
2019-11-26,0,0,36,30,0,0,0,53,0,0
2019-11-27,0,0,45,70,0,0,0,82,0,0
2019-11-28,0,0,52,37,0,0,0,69,0,0
2019-11-29,0,0,52,50,0,0,0,63,0,0
2019-11-30,0,0,35,47,0,0,0,54,0,0
2019-12-01,0,0,39,38,0,0,0,43,0,0
2019-12-02,0,0,36,17,0,0,0,70,0,0
2019-12-03,0,8,32,26,0,0,0,80,0,0
2019-12-04,0,9,25,84,0,0,0,54,0,0
2019-12-05,0,7,36,45,0,0,0,67,0,0
2019-12-06,0,0,29,38,0,0,0,100,0,0
2019-12-07,0,0,26,38,0,0,0,87,0,0
2019-12-08,0,0,41,32,0,0,0,48,0,0
2019-12-09,0,9,36,25,0,0,0,63,0,0
2019-12-10,0,0,33,20,0,0,0,52,0,0
2019-12-11,0,8,28,79,0,0,0,65,0,0
2019-12-12,0,7,30,29,0,0,0,63,0,0
2019-12-13,0,9,31,44,0,0,0,65,0,0
2019-12-14,0,0,39,40,0,0,0,81,0,0
2019-12-15,0,0,38,36,0,0,0,53,0,0
2019-12-16,0,0,31,37,0,0,0,61,0,0
2019-12-17,0,12,32,27,0,0,0,72,0,0
2019-12-18,0,11,35,68,0,0,0,71,0,0
2019-12-19,0,13,34,36,0,0,0,77,0,0
2019-12-20,0,8,38,44,0,0,0,68,0,0
2019-12-21,0,0,37,46,0,0,0,83,0,0
2019-12-22,0,0,29,28,0,0,0,65,0,0
2019-12-23,0,0,45,29,0,0,0,91,0,0
2019-12-24,0,0,51,38,0,0,0,88,0,0
2019-12-25,0,0,63,34,0,0,0,70,0,0
2019-12-26,0,0,41,25,0,0,0,66,0,0
2019-12-27,0,0,32,34,0,0,0,47,0,0
2019-12-28,0,0,36,33,0,0,0,61,0,0
2019-12-29,0,0,29,29,0,0,0,33,0,0
2019-12-30,0,0,47,24,0,0,0,79,0,0
2019-12-31,10,0,43,27,11,0,0,81,0,0
2020-01-01,0,0,46,61,0,0,31,56,0,0
2020-01-02,0,0,35,29,0,0,0,68,0,0
2020-01-03,0,0,40,33,0,0,0,44,0,0
2020-01-04,0,0,42,32,0,0,0,53,0,0
2020-01-05,0,0,40,31,0,0,0,30,0,0
2020-01-06,0,0,36,24,0,0,0,68,0,0
2020-01-07,0,0,34,19,0,0,0,57,0,0
2020-01-08,0,0,26,52,0,0,0,45,0,0
2020-01-09,0,0,33,23,0,0,0,78,0,0
2020-01-10,0,0,38,37,0,0,0,60,0,0
2020-01-11,0,0,36,33,0,0,0,48,0,0
2020-01-12,0,0,27,28,0,0,0,41,0,0
2020-01-13,0,6,32,15,0,0,0,69,0,0
2020-01-14,0,0,34,19,0,0,0,68,0,0
2020-01-15,0,8,38,56,0,0,0,77,0,0
2020-01-16,0,0,31,18,0,0,0,67,0,0
2020-01-17,0,8,27,37,0,0,0,58,0,0
2020-01-18,0,0,29,22,0,0,0,52,0,0
2020-01-19,0,0,28,25,0,0,0,55,0,0
2020-01-20,0,0,32,20,0,0,0,78,0,0
2020-01-21,0,0,39,18,0,0,0,58,0,0
2020-01-22,0,0,30,51,0,0,0,67,0,0
