date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2023-12-06,18,65,18,0,0,27,0,12
2023-12-07,18,53,30,0,0,21,0,13
2023-12-08,20,71,13,0,0,18,0,15
2023-12-09,25,58,35,0,0,21,0,15
2023-12-10,21,68,21,0,0,20,0,14
2023-12-11,20,69,21,0,0,21,0,14
2023-12-12,26,58,29,0,0,17,0,17
2023-12-13,19,57,26,0,13,20,8,13
2023-12-14,29,58,18,0,0,27,0,7
2023-12-15,26,69,17,0,0,25,0,20
2023-12-16,23,62,25,0,0,18,0,15
2023-12-17,17,68,22,0,0,17,0,12
2023-12-18,21,54,30,0,0,20,0,19
2023-12-19,23,69,23,0,0,16,0,14
2023-12-20,24,62,0,0,0,20,0,19
2023-12-21,28,72,14,0,0,20,0,0
2023-12-22,20,60,0,0,0,25,0,12
2023-12-23,16,66,0,0,0,23,0,15
2023-12-24,29,59,18,0,0,20,0,0
2023-12-25,16,49,19,0,0,20,0,10
2023-12-26,21,62,15,0,0,23,0,12
2023-12-27,25,68,36,0,0,32,0,12
2023-12-28,21,73,28,0,19,21,0,17
2023-12-29,0,64,14,0,0,22,0,14
2023-12-30,19,50,18,0,0,22,0,17
2023-12-31,17,63,30,0,0,20,0,10
2024-01-01,15,76,29,0,0,15,0,20
2024-01-02,28,81,20,0,0,13,0,9
2024-01-03,18,62,18,0,0,13,0,14
2024-01-04,24,64,17,0,11,21,0,13
2024-01-05,23,75,26,0,12,22,0,11
2024-01-06,14,70,20,0,14,20,0,20
2024-01-07,0,78,22,0,0,14,0,18
2024-01-08,18,68,30,0,0,15,0,12
2024-01-09,10,66,18,0,0,31,0,14
2024-01-10,14,67,21,0,0,54,0,31
2024-01-11,16,73,23,0,0,49,0,25
2024-01-12,0,51,23,0,0,42,0,25
2024-01-13,16,69,28,0,0,0,0,27
2024-01-14,15,69,21,0,0,57,0,40
2024-01-15,15,65,23,0,0,43,0,24
2024-01-16,0,70,24,15,0,63,0,26
2024-01-17,18,77,17,24,0,65,0,44
2024-01-18,0,58,18,23,0,44,0,32
2024-01-19,12,75,16,15,0,46,0,37
2024-01-20,0,82,0,0,16,57,0,29
2024-01-21,13,67,21,16,0,65,0,35
2024-01-22,10,73,18,31,11,63,0,28
2024-01-23,0,72,18,25,0,59,0,28
2024-01-24,11,81,14,11,13,70,0,30
2024-01-25,14,66,16,25,0,49,0,26
2024-01-26,16,67,24,20,0,46,0,29
2024-01-27,0,78,14,0,0,45,0,23
2024-01-28,17,100,0,0,0,40,0,21
2024-01-29,16,83,0,19,0,64,0,42
2024-01-30,12,87,0,24,0,60,0,27
2024-01-31,13,84,11,36,0,48,0,0
2024-02-01,0,80,16,0,0,64,0,28
2024-02-02,0,75,18,0,0,60,0,34
2024-02-03,0,63,30,0,0,59,0,0
2024-02-04,0,78,40,0,0,57,0,55
2024-02-05,13,67,14,32,0,51,0,25
2024-02-06,13,76,0,24,13,57,0,18
2024-02-07,0,77,28,17,0,40,0,23
2024-02-08,0,68,18,0,0,56,0,0
2024-02-09,0,63,19,20,0,41,0,35
2024-02-10,0,68,0,0,0,43,0,28
2024-02-11,22,90,23,17,19,65,0,46
2024-02-12,14,79,19,24,12,54,0,35
2024-02-13,15,89,15,21,0,64,0,0
2024-02-14,17,74,18,14,0,53,0,40
2024-02-15,15,91,13,13,0,65,0,40
2024-02-16,0,87,0,0,0,52,0,24
2024-02-17,0,72,19,0,0,55,0,0
2024-02-18,0,85,24,0,0,57,0,23
2024-02-19,0,88,21,19,0,55,0,39
2024-02-20,0,70,11,24,0,42,0,35
2024-02-21,0,89,14,15,0,69,0,26
2024-02-22,0,79,15,17,13,50,0,25
2024-02-23,0,62,16,12,0,21,0,25
2024-02-24,0,66,25,14,0,41,0,21
2024-02-25,0,75,14,21,0,41,0,46
2024-02-26,15,59,20,0,0,69,0,29
2024-02-27,18,77,16,18,0,53,0,27
2024-02-28,0,64,18,14,0,63,0,32
2024-02-29,0,61,14,17,0,61,0,27
2024-03-01,0,72,20,0,0,38,0,35
2024-03-02,0,78,21,0,0,36,0,24
2024-03-03,18,81,29,0,0,52,0,30
2024-03-04,13,70,0,0,0,48,0,18
2024-03-05,0,60,13,0,0,59,0,18
2024-03-06,0,71,13,21,0,51,0,25
2024-03-07,0,61,0,15,14,43,0,23
2024-03-08,0,66,18,0,17,47,0,27
2024-03-09,0,53,20,0,0,36,0,28
2024-03-10,0,57,18,0,0,51,0,0
2024-03-11,0,58,13,15,0,40,0,23
2024-03-12,12,57,18,14,0,43,24,36
2024-03-13,0,82,24,0,0,67,0,22
2024-03-14,0,56,0,0,0,61,0,23
2024-03-15,0,73,23,0,0,53,0,26
2024-03-16,0,66,42,0,0,40,0,21
2024-03-17,0,61,21,0,0,46,0,33
2024-03-18,0,69,15,0,0,55,0,0
2024-03-19,0,56,16,0,20,73,0,28
2024-03-20,0,64,23,0,0,57,0,24
2024-03-21,0,83,23,0,0,59,0,0
2024-03-22,0,64,21,0,0,50,0,36
2024-03-23,0,50,25,0,0,60,0,0
2024-03-24,16,63,17,0,0,55,0,30
2024-03-25,0,47,18,0,12,60,0,34
2024-03-26,13,61,17,0,0,70,0,26
2024-03-27,15,54,13,0,20,52,0,22
2024-03-28,14,69,21,0,0,53,0,0
2024-03-29,19,80,28,0,0,41,0,38
2024-03-30,0,49,0,0,0,38,0,36
2024-03-31,21,43,44,0,0,64,0,39
2024-04-01,17,50,0,0,0,45,0,25
2024-04-02,13,70,29,0,12,67,0,31
2024-04-03,15,67,19,0,0,85,0,30
2024-04-04,0,65,12,0,0,73,0,37
2024-04-05,13,58,0,13,0,64,0,29
2024-04-06,0,58,34,0,0,61,0,28
2024-04-07,21,66,28,0,0,70,0,33
2024-04-08,0,83,15,22,0,87,0,31
2024-04-09,15,74,16,13,0,69,0,27
2024-04-10,0,72,16,16,12,82,0,39
2024-04-11,0,68,14,15,0,78,0,25
2024-04-12,16,63,19,17,0,59,0,0
2024-04-13,0,74,35,0,0,68,0,0
2024-04-14,16,76,16,16,0,74,0,27
2024-04-15,0,68,0,15,0,99,0,41
2024-04-16,0,77,0,11,0,100,0,54
2024-04-17,0,61,32,0,0,57,0,43
2024-04-18,14,80,20,20,0,74,0,29
2024-04-19,0,63,20,0,0,64,0,32
2024-04-20,15,55,22,0,0,45,0,38
2024-04-21,0,70,23,14,0,49,0,39
2024-04-22,15,82,16,0,0,68,0,41
2024-04-23,0,74,17,0,0,79,0,55
2024-04-24,0,68,20,0,0,78,0,41
2024-04-25,0,69,17,12,0,77,0,24
2024-04-26,0,53,24,0,0,65,0,20
2024-04-27,0,71,19,0,0,37,0,31
2024-04-28,14,70,30,0,0,77,0,31
2024-04-29,0,71,23,0,0,77,0,38
2024-04-30,0,67,27,0,0,61,0,23
2024-05-01,15,73,31,16,0,59,0,35
2024-05-02,0,73,0,0,0,51,0,27
2024-05-03,14,69,14,0,0,56,0,40
2024-05-04,0,54,27,0,0,45,24,0
2024-05-05,15,72,19,0,0,53,0,41
2024-05-06,13,83,0,0,0,77,0,46
2024-05-07,11,64,19,22,0,79,0,39
2024-05-08,0,67,0,0,12,85,0,25
2024-05-09,14,81,16,16,0,64,0,31
2024-05-10,0,52,13,0,13,60,0,21
2024-05-11,0,56,0,0,0,62,0,44
2024-05-12,0,67,18,0,16,62,0,22
2024-05-13,0,64,16,0,0,78,0,35
2024-05-14,0,75,0,15,0,85,0,30
2024-05-15,0,73,17,14,0,58,0,45
2024-05-16,0,79,13,0,0,75,0,26
2024-05-17,0,57,24,0,0,47,0,33
