date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2019-06-12,33,76,0,0,0,0,0,15,46,92
2019-06-13,34,82,0,0,0,0,0,0,45,57
2019-06-14,39,84,0,0,0,0,0,0,34,56
2019-06-15,22,74,0,0,0,0,0,0,36,38
2019-06-16,26,73,0,0,0,0,0,0,27,40
2019-06-17,28,62,0,0,0,0,0,0,30,51
2019-06-18,30,83,0,0,0,0,0,0,52,66
2019-06-19,31,76,0,0,0,0,0,0,64,97
2019-06-20,30,100,0,0,0,0,0,0,52,81
2019-06-21,26,82,0,0,0,0,0,0,43,60
2019-06-22,29,84,0,0,0,0,0,0,0,52
2019-06-23,29,67,0,0,0,0,0,0,45,27
2019-06-24,28,82,0,0,0,0,0,0,65,84
2019-06-25,36,74,0,0,0,0,0,0,48,86
2019-06-26,31,74,0,0,0,0,0,0,48,88
2019-06-27,30,75,0,0,0,0,0,0,48,67
2019-06-28,30,74,0,0,0,0,0,0,35,72
2019-06-29,31,68,0,0,0,0,0,0,32,34
2019-06-30,38,72,0,0,0,0,0,0,24,44
2019-07-01,32,62,0,0,0,0,0,0,69,76
2019-07-02,28,75,0,0,0,0,0,0,58,72
2019-07-03,25,87,0,0,0,0,0,0,46,74
2019-07-04,28,67,0,0,0,0,0,0,57,83
2019-07-05,30,81,0,0,0,0,0,0,48,64
2019-07-06,19,69,0,0,0,0,0,0,33,33
2019-07-07,30,65,0,0,0,0,0,0,30,36
2019-07-08,29,78,0,0,0,0,0,21,51,95
2019-07-09,30,76,0,0,0,0,0,17,52,91
2019-07-10,27,81,0,0,0,0,0,0,64,75
2019-07-11,35,82,0,0,0,0,0,0,66,68
2019-07-12,28,74,0,0,0,0,0,0,46,58
2019-07-13,24,71,0,0,0,0,0,0,38,44
2019-07-14,27,62,0,0,0,0,0,0,51,42
2019-07-15,32,79,0,0,0,0,0,20,41,70
2019-07-16,34,68,0,0,0,0,0,17,46,64
2019-07-17,31,77,0,0,0,0,0,0,56,74
2019-07-18,25,81,0,0,0,0,0,0,46,61
2019-07-19,28,76,0,0,0,0,0,0,50,61
2019-07-20,28,68,0,0,0,0,0,0,42,22
2019-07-21,31,65,0,0,0,0,0,0,35,30
2019-07-22,34,79,0,0,0,0,0,0,64,60
2019-07-23,33,76,0,0,0,0,0,0,45,72
2019-07-24,26,75,0,0,0,0,0,17,55,73
2019-07-25,27,65,0,0,0,0,0,0,45,100
2019-07-26,28,68,0,0,0,0,0,0,53,69
2019-07-27,24,72,0,0,0,0,0,0,28,50
