date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2020-09-11,67,50,9,20,0,0,61,0,0
2020-09-12,81,48,9,22,0,0,60,0,0
2020-09-13,67,45,8,23,0,0,62,0,0
2020-09-14,52,41,6,17,0,0,50,0,0
2020-09-15,53,41,7,15,0,0,37,0,0
2020-09-16,52,43,6,13,0,0,47,0,0
2020-09-17,56,44,7,13,0,0,50,0,0
2020-09-18,66,49,8,17,0,16,51,0,0
2020-09-19,70,49,9,21,0,0,71,0,0
2020-09-20,63,45,7,20,0,17,60,0,0
2020-09-21,53,39,6,12,0,0,48,0,0
2020-09-22,52,43,7,14,0,0,47,0,0
2020-09-23,59,46,8,15,0,17,56,0,0
2020-09-24,70,48,9,16,0,0,46,0,0
2020-09-25,65,44,8,16,0,16,42,0,0
2020-09-26,72,46,9,18,0,19,66,0,0
2020-09-27,65,45,9,18,0,20,59,0,0
2020-09-28,54,38,6,11,0,0,33,0,0
2020-09-29,55,40,6,11,0,0,39,0,0
2020-09-30,57,41,7,12,0,15,49,0,0
2020-10-01,64,42,8,11,0,0,61,0,0
2020-10-02,71,46,9,16,0,14,44,0,0
2020-10-03,77,44,9,18,0,0,56,0,0
2020-10-04,67,41,9,17,0,18,55,0,0
2020-10-05,57,39,7,12,0,19,45,0,0
2020-10-06,58,40,8,11,0,0,32,0,0
2020-10-07,62,43,7,12,0,0,37,0,0
2020-10-08,61,46,9,12,0,16,47,0,0
2020-10-09,74,48,8,13,0,0,49,0,0
2020-10-10,84,51,10,18,0,0,75,0,0
2020-10-11,71,45,10,20,0,0,59,0,0
2020-10-12,57,43,7,12,0,0,44,0,0
2020-10-13,61,42,8,11,0,0,36,0,0
2020-10-14,60,46,7,11,0,0,31,0,0
2020-10-15,82,43,8,12,0,0,40,0,0
2020-10-16,100,49,10,12,0,0,42,0,27
2020-10-17,88,48,11,16,0,0,56,0,0
2020-10-18,76,43,10,16,0,0,52,0,0
2020-10-19,61,41,8,12,0,0,47,0,0
2020-10-20,56,40,7,12,0,0,38,0,0
2020-10-21,60,43,8,11,0,0,32,0,0
2020-10-22,65,46,8,11,0,0,38,0,0
2020-10-23,77,45,9,13,0,0,52,0,0
2020-10-24,71,44,9,14,0,0,51,0,0
2020-10-25,71,44,9,17,0,0,66,0,0
2020-10-26,56,40,7,11,0,0,49,0,0
2020-10-27,53,42,7,11,0,13,31,0,0
2020-10-28,59,40,8,10,0,0,48,0,0
2020-10-29,69,42,7,12,0,16,45,0,0
2020-10-30,73,46,9,13,0,19,61,0,0
2020-10-31,74,46,9,16,0,0,44,0,0
2020-11-01,70,44,9,18,0,0,56,0,0
2020-11-02,57,39,7,10,0,0,45,0,0
2020-11-03,53,40,8,10,0,0,44,0,0
2020-11-04,52,36,8,10,0,0,43,0,0
2020-11-05,65,39,9,10,0,0,27,0,0
2020-11-06,90,45,11,11,0,0,36,0,0
2020-11-07,87,43,10,16,0,0,61,0,0
2020-11-08,67,42,9,15,0,0,40,0,0
2020-11-09,56,40,7,11,0,0,40,0,0
2020-11-10,55,42,8,12,0,0,50,0,0
2020-11-11,55,43,9,11,0,16,47,0,0
2020-11-12,55,47,9,11,0,0,30,0,0
2020-11-13,67,48,9,13,0,0,47,0,0
2020-11-14,76,48,11,16,0,0,56,0,0
2020-11-15,73,45,10,16,0,0,71,0,0
2020-11-16,54,40,7,11,0,0,37,0,0
2020-11-17,62,40,7,11,0,15,40,0,0
2020-11-18,50,45,7,11,0,0,42,0,0
2020-11-19,57,44,9,11,0,0,46,0,0
2020-11-20,70,48,10,14,0,0,47,0,0
2020-11-21,74,45,9,18,0,17,60,0,0
2020-11-22,71,42,9,18,0,22,36,0,0
2020-11-23,56,41,7,10,0,15,46,0,0
2020-11-24,52,39,7,10,0,15,49,0,0
2020-11-25,55,39,8,10,0,0,40,0,0
2020-11-26,59,42,8,10,0,17,36,0,0
2020-11-27,72,46,9,12,0,15,41,0,0
2020-11-28,77,42,10,15,0,0,54,0,0
2020-11-29,75,43,10,16,0,0,69,0,0
2020-11-30,64,40,8,11,0,0,51,0,0
2020-12-01,63,40,9,11,0,0,42,0,0
2020-12-02,67,47,9,11,0,0,66,0,0
2020-12-03,61,44,9,12,0,21,57,0,0
2020-12-04,79,49,11,13,0,0,35,0,0
2020-12-05,76,45,12,18,0,23,53,0,0
2020-12-06,77,45,10,19,0,0,69,0,0
2020-12-07,66,40,8,14,0,0,46,0,0
2020-12-08,62,43,9,14,0,0,61,0,0
2020-12-09,59,41,8,12,0,16,51,0,0
2020-12-10,63,44,11,13,0,15,52,0,0
2020-12-11,75,49,12,14,0,0,78,0,0
2020-12-12,71,45,10,18,0,0,71,0,0
2020-12-13,76,45,10,17,0,0,74,0,0
2020-12-14,59,55,8,15,0,0,80,0,0
2020-12-15,59,46,9,15,0,0,65,0,0
2020-12-16,73,44,11,18,0,0,49,0,0
2020-12-17,63,43,8,16,0,0,55,0,0
2020-12-18,72,46,9,17,0,0,59,0,0
2020-12-19,77,43,10,16,0,0,65,0,0
2020-12-20,71,43,10,19,0,0,42,0,0
2020-12-21,60,42,8,15,0,0,60,0,0
2020-12-22,69,43,9,16,0,25,49,0,0
2020-12-23,71,44,9,15,0,0,60,0,0
2020-12-24,80,51,10,16,0,0,47,0,0
2020-12-25,91,58,14,20,0,0,81,0,0
2020-12-26,75,43,9,23,0,0,71,0,0
2020-12-27,66,40,9,22,0,22,62,0,0
2020-12-28,58,41,8,17,0,0,67,0,0
2020-12-29,62,43,7,20,0,18,66,0,0
2020-12-30,68,42,8,20,0,25,59,0,0
2020-12-31,85,52,12,17,0,0,68,0,0
2021-01-01,71,45,10,26,0,22,64,0,0
2021-01-02,61,42,7,26,0,22,76,0,0
2021-01-03,58,42,7,22,0,27,51,0,0
2021-01-04,58,43,7,21,0,22,72,0,0
2021-01-05,55,45,7,21,0,0,75,0,0
2021-01-06,60,44,8,19,0,31,61,0,0
2021-01-07,66,47,9,20,0,22,66,0,0
2021-01-08,66,51,8,21,0,24,66,0,0
2021-01-09,71,51,9,25,0,24,70,0,0
2021-01-10,71,50,9,27,0,0,66,0,0
2021-01-11,63,49,7,20,0,0,90,0,0
2021-01-12,60,47,7,19,0,0,78,0,0
2021-01-13,58,50,8,19,0,18,69,0,0
2021-01-14,60,54,8,19,0,23,57,0,0
2021-01-15,64,54,8,23,0,0,86,0,0
2021-01-16,70,54,9,25,0,0,73,0,0
2021-01-17,67,49,9,25,0,20,96,0,0
2021-01-18,63,49,7,19,0,0,57,0,0
2021-01-19,57,47,7,18,0,18,76,0,0
2021-01-20,54,48,8,17,0,21,56,0,0
2021-01-21,67,49,9,17,0,44,53,0,0
2021-01-22,69,56,9,21,0,0,77,0,0
2021-01-23,71,51,9,24,0,0,75,0,0
2021-01-24,71,49,10,25,0,20,61,0,0
2021-01-25,58,47,8,19,0,32,55,0,0
2021-01-26,61,47,7,16,0,24,59,0,0
2021-01-27,57,47,8,17,0,22,52,0,0
2021-01-28,63,49,9,18,0,21,84,0,0
2021-01-29,69,51,9,20,0,19,61,0,0
2021-01-30,72,49,9,22,0,25,72,0,0
2021-01-31,72,49,10,24,0,23,67,0,0
2021-02-01,56,50,8,17,0,21,64,0,0
2021-02-02,60,45,8,17,0,16,53,0,0
2021-02-03,60,49,8,15,0,20,60,0,0
2021-02-04,63,50,9,17,0,18,63,0,0
2021-02-05,77,54,10,18,0,23,53,0,0
2021-02-06,75,52,9,22,0,0,58,0,0
2021-02-07,69,46,9,23,0,0,75,19,0
2021-02-08,56,49,7,14,0,20,60,0,0
2021-02-09,64,50,8,15,0,0,47,0,0
2021-02-10,62,49,8,15,0,0,63,0,0
2021-02-11,63,48,8,13,0,25,66,0,0
