date,Dog Food,Puppies for Sale,Pet shop
2019-12-16,31,78,0
2019-12-17,29,60,0
2019-12-18,34,54,0
2019-12-19,40,67,0
2019-12-20,27,74,0
2019-12-21,41,50,0
2019-12-22,0,81,0
2019-12-23,32,72,0
2019-12-24,35,47,0
2019-12-25,0,56,0
2019-12-26,29,87,0
2019-12-27,23,78,0
2019-12-28,32,61,0
2019-12-29,42,89,0
2019-12-30,26,82,0
2019-12-31,32,57,22
2020-01-01,34,70,0
2020-01-02,27,46,0
2020-01-03,22,49,0
2020-01-04,20,51,0
2020-01-05,25,58,22
2020-01-06,33,42,13
2020-01-07,22,39,0
2020-01-08,23,39,0
2020-01-09,27,41,0
2020-01-10,27,37,0
2020-01-11,26,49,0
2020-01-12,21,53,0
2020-01-13,19,47,0
2020-01-14,23,36,11
2020-01-15,22,46,0
2020-01-16,23,35,0
2020-01-17,17,46,0
2020-01-18,27,58,0
2020-01-19,35,62,0
2020-01-20,32,35,0
2020-01-21,22,38,0
2020-01-22,25,41,0
2020-01-23,14,47,15
2020-01-24,24,51,0
2020-01-25,24,36,0
2020-01-26,20,48,0
2020-01-27,21,31,12
2020-01-28,22,37,0
2020-01-29,22,33,0
2020-01-30,18,24,0
2020-01-31,12,22,0
2020-02-01,31,42,0
2020-02-02,28,64,0
2020-02-03,22,35,0
2020-02-04,14,37,0
2020-02-05,15,39,0
2020-02-06,17,31,0
2020-02-07,16,42,0
2020-02-08,14,37,0
2020-02-09,21,44,0
2020-02-10,23,33,17
2020-02-11,19,37,0
2020-02-12,24,38,0
2020-02-13,19,19,0
2020-02-14,0,31,0
2020-02-15,17,43,15
2020-02-16,23,49,0
2020-02-17,24,31,0
2020-02-18,27,22,0
2020-02-19,17,39,0
2020-02-20,37,27,0
2020-02-21,17,33,0
2020-02-22,23,50,0
2020-02-23,24,48,14
2020-02-24,19,30,0
2020-02-25,28,36,0
2020-02-26,17,43,0
2020-02-27,22,33,0
2020-02-28,18,29,0
2020-02-29,23,45,0
2020-03-01,14,47,0
2020-03-02,22,31,0
2020-03-03,24,27,11
2020-03-04,33,25,0
2020-03-05,16,25,0
2020-03-06,14,37,0
2020-03-07,25,37,16
2020-03-08,13,41,0
2020-03-09,19,32,0
2020-03-10,13,29,0
2020-03-11,16,30,0
2020-03-12,17,29,0
2020-03-13,19,33,0
2020-03-14,21,34,0
2020-03-15,20,58,0
2020-03-16,21,34,0
2020-03-17,17,37,0
2020-03-18,23,22,0
2020-03-19,17,35,0
2020-03-20,17,46,0
2020-03-21,23,61,16
2020-03-22,31,45,0
2020-03-23,20,35,0
2020-03-24,35,37,0
2020-03-25,41,35,16
2020-03-26,36,28,15
2020-03-27,20,34,0
2020-03-28,12,32,0
2020-03-29,19,34,0
2020-03-30,22,28,12
2020-03-31,23,34,0
2020-04-01,20,32,0
2020-04-02,15,41,0
2020-04-03,27,39,0
2020-04-04,14,37,0
2020-04-05,23,35,0
2020-04-06,24,37,0
2020-04-07,22,29,0
2020-04-08,13,38,0
2020-04-09,21,48,11
2020-04-10,18,49,0
2020-04-11,19,55,15
2020-04-12,20,55,0
2020-04-13,30,51,0
2020-04-14,40,31,0
2020-04-15,21,44,0
2020-04-16,30,51,0
2020-04-17,26,46,0
2020-04-18,30,62,15
2020-04-19,35,56,0
2020-04-20,40,44,0
2020-04-21,31,54,0
2020-04-22,38,57,0
2020-04-23,14,40,0
2020-04-24,34,57,0
2020-04-25,33,72,12
2020-04-26,38,72,0
2020-04-27,28,55,0
2020-04-28,33,44,0
2020-04-29,25,56,0
2020-04-30,26,47,0
2020-05-01,23,71,0
2020-05-02,27,76,15
2020-05-03,26,78,0
2020-05-04,27,54,0
2020-05-05,30,58,0
2020-05-06,16,47,10
2020-05-07,23,58,0
2020-05-08,22,65,0
2020-05-09,25,70,0
2020-05-10,0,66,0
2020-05-11,27,56,12
2020-05-12,27,64,0
2020-05-13,31,62,0
2020-05-14,15,57,0
2020-05-15,18,66,0
2020-05-16,25,74,0
2020-05-17,26,83,0
2020-05-18,36,67,0
2020-05-19,31,53,12
2020-05-20,37,63,0
2020-05-21,27,68,0
2020-05-22,20,63,0
2020-05-23,39,93,13
2020-05-24,28,84,0
2020-05-25,33,71,0
2020-05-26,31,60,10
2020-05-27,25,75,0
2020-05-28,30,60,0
2020-05-29,26,66,10
2020-05-30,23,77,0
2020-05-31,24,80,0
2020-06-01,30,62,0
2020-06-02,23,68,0
2020-06-03,25,80,0
2020-06-04,22,80,0
2020-06-05,23,67,0
2020-06-06,17,85,17
2020-06-07,27,78,0
2020-06-08,28,68,10
2020-06-09,30,64,0
2020-06-10,23,62,0
2020-06-11,24,65,11
2020-06-12,24,62,0
2020-06-13,30,64,14
2020-06-14,25,100,0
2020-06-15,14,59,0
2020-06-16,29,76,0
2020-06-17,28,61,0
2020-06-18,27,64,0
2020-06-19,26,64,22
2020-06-20,23,86,18
2020-06-21,25,92,0
2020-06-22,26,72,0
2020-06-23,35,64,0
2020-06-24,23,77,0
2020-06-25,27,77,0
2020-06-26,28,66,0
2020-06-27,29,81,13
2020-06-28,27,89,16
2020-06-29,28,73,10
2020-06-30,28,58,0
2020-07-01,29,63,0
2020-07-02,37,60,0
2020-07-03,22,81,0
2020-07-04,24,100,0
2020-07-05,30,78,0
2020-07-06,23,57,0
2020-07-07,23,57,12
2020-07-08,18,60,0
2020-07-09,22,66,0
2020-07-10,24,63,0
2020-07-11,21,79,0
2020-07-12,35,87,0
2020-07-13,29,61,10
2020-07-14,19,59,0
2020-07-15,34,56,0
2020-07-16,30,61,0
2020-07-17,23,64,0
2020-07-18,25,85,18
2020-07-19,29,98,0
2020-07-20,26,70,0
2020-07-21,31,56,0
2020-07-22,32,61,0
2020-07-23,17,70,0
2020-07-24,25,59,0
2020-07-25,35,88,0
2020-07-26,29,87,0
2020-07-27,34,78,0
2020-07-28,25,68,0
2020-07-29,27,87,11
2020-07-30,25,62,11
2020-07-31,22,66,0
2020-08-01,27,82,0
2020-08-02,37,98,0
2020-08-03,23,61,0
2020-08-04,30,48,0
2020-08-05,24,55,11
2020-08-06,17,56,0
2020-08-07,20,51,0
2020-08-08,24,80,15
2020-08-09,22,80,0
2020-08-10,17,66,0
2020-08-11,20,54,11
2020-08-12,21,56,0
2020-08-13,23,52,0
2020-08-14,10,58,0
