date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2022-12-23,0,72,29,27,5,30,58,10,37,0
2022-12-24,0,73,26,23,5,27,56,8,34,0
2022-12-25,0,71,18,16,5,35,61,9,35,0
2022-12-26,0,70,24,23,5,26,54,18,100,0
2022-12-27,0,71,24,22,5,28,60,9,36,0
2022-12-28,0,75,20,22,7,29,64,8,36,0
2022-12-29,0,76,20,21,6,27,61,9,35,0
2022-12-30,0,70,18,19,4,25,58,8,37,0
2022-12-31,0,73,18,17,3,21,54,11,32,0
2023-01-01,0,81,19,13,5,29,49,8,34,0
2023-01-02,0,74,21,23,6,25,52,7,38,0
2023-01-03,0,70,21,22,7,24,60,9,46,0
2023-01-04,0,74,20,18,9,26,56,10,52,0
2023-01-05,0,78,20,19,8,29,57,12,49,0
2023-01-06,0,76,19,19,8,26,53,13,43,0
2023-01-07,0,78,19,18,5,25,54,11,41,0
2023-01-08,0,65,15,15,6,25,44,11,40,0
2023-01-09,0,65,17,17,10,26,52,14,48,0
2023-01-10,0,64,16,16,10,25,53,20,98,0
2023-01-11,0,63,17,17,10,28,53,12,52,0
2023-01-12,0,63,18,19,9,22,51,15,51,0
2023-01-13,0,66,16,17,8,25,50,12,53,0
2023-01-14,0,62,16,17,6,24,51,12,41,0
2023-01-15,0,60,16,19,5,26,49,10,47,0
2023-01-16,0,67,16,19,10,26,45,17,48,0
2023-01-17,0,67,18,17,10,26,43,16,52,0
2023-01-18,0,65,14,17,8,25,44,14,46,0
2023-01-19,0,63,15,15,9,24,43,16,46,0
2023-01-20,0,60,17,17,8,23,44,13,46,0
2023-01-21,0,63,17,16,6,21,46,14,40,0
2023-01-22,0,63,17,15,5,24,44,12,40,0
2023-01-23,0,56,21,19,12,25,42,18,52,0
2023-01-24,0,63,19,16,10,26,48,17,51,0
2023-01-25,0,59,21,16,17,25,48,17,50,0
2023-01-26,0,56,21,19,11,24,41,17,51,0
2023-01-27,0,64,24,18,9,28,46,15,47,0
2023-01-28,0,65,27,17,6,27,48,12,45,0
