date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2019-07-10,18,5,53,0,41,67,0,0,0,0
2019-07-11,22,6,52,0,41,70,0,0,0,4
2019-07-12,23,6,55,0,47,62,0,0,0,0
2019-07-13,14,4,39,0,32,44,0,0,0,0
2019-07-14,12,3,26,0,22,37,0,0,0,0
2019-07-15,26,6,63,0,45,68,0,0,0,0
2019-07-16,22,6,55,0,41,69,0,0,0,4
2019-07-17,21,5,54,0,43,62,0,0,0,0
2019-07-18,19,6,52,0,42,67,0,0,0,0
2019-07-19,23,6,59,0,43,64,0,0,0,4
2019-07-20,15,5,35,0,31,43,0,0,0,0
2019-07-21,13,3,29,0,27,42,0,0,0,0
2019-07-22,19,7,53,0,41,61,0,0,0,0
2019-07-23,18,4,52,0,40,57,0,0,0,4
2019-07-24,19,7,56,0,44,61,0,0,0,5
2019-07-25,25,7,76,0,51,61,0,0,0,4
2019-07-26,24,8,74,0,56,62,0,0,0,0
2019-07-27,16,6,46,0,34,45,0,0,0,0
2019-07-28,15,6,36,2,24,48,0,0,4,0
2019-07-29,27,7,67,0,55,74,0,0,0,0
2019-07-30,26,6,68,0,50,80,0,0,0,6
2019-07-31,28,8,79,0,57,87,0,0,0,3
2019-08-01,24,7,76,0,55,83,0,0,0,0
2019-08-02,28,6,76,0,60,81,0,0,0,5
2019-08-03,16,5,42,0,32,50,0,0,0,0
2019-08-04,13,5,33,0,24,48,0,0,0,0
2019-08-05,27,7,70,0,48,79,0,0,0,7
2019-08-06,24,7,64,0,47,74,0,0,0,4
2019-08-07,23,5,56,0,39,63,0,0,0,4
2019-08-08,27,6,61,0,43,64,0,0,0,5
2019-08-09,14,5,35,0,27,44,0,0,0,0
2019-08-10,14,5,32,0,31,45,0,0,0,0
2019-08-11,12,3,27,0,27,43,0,0,0,0
2019-08-12,22,7,60,0,46,73,0,0,0,4
2019-08-13,18,6,57,0,38,69,0,0,0,0
2019-08-14,18,5,53,0,36,66,0,0,0,0
2019-08-15,17,5,57,0,46,66,0,0,0,4
2019-08-16,20,6,54,0,41,57,0,0,0,4
2019-08-17,11,5,36,0,31,47,0,0,0,0
2019-08-18,11,5,30,0,20,46,0,0,0,0
2019-08-19,17,6,53,0,40,71,0,0,0,0
2019-08-20,19,5,57,0,46,62,0,0,0,0
2019-08-21,17,5,54,0,42,59,0,0,0,0
2019-08-22,19,5,53,0,41,62,0,0,0,5
2019-08-23,24,7,74,0,56,51,0,0,0,6
2019-08-24,16,4,39,0,35,41,0,0,0,5
2019-08-25,10,4,33,0,23,43,0,0,0,0
2019-08-26,21,6,68,0,50,76,0,0,0,4
2019-08-27,21,6,66,0,50,67,0,0,0,0
2019-08-28,18,6,58,0,48,82,0,0,0,0
