date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2019-06-22,18,25,76,74,24,26,28,0,82,0
2019-06-23,16,28,75,75,25,29,21,0,90,0
2019-06-24,23,21,80,65,28,30,36,0,87,0
2019-06-25,20,24,78,62,24,25,30,0,81,0
2019-06-26,18,21,74,65,22,25,29,0,80,0
2019-06-27,20,21,75,66,27,29,28,0,89,0
2019-06-28,19,22,73,70,24,25,24,0,79,0
2019-06-29,16,22,71,70,23,28,26,0,82,0
2019-06-30,15,19,66,75,23,26,25,0,78,0
2019-07-01,14,13,52,51,16,26,25,2,85,0
2019-07-02,15,16,52,45,16,26,27,0,84,0
2019-07-03,15,16,49,47,16,27,28,0,88,0
2019-07-04,14,16,56,54,19,27,29,2,85,0
2019-07-05,14,15,56,56,18,23,31,2,85,0
2019-07-06,11,18,52,56,19,29,29,0,89,0
2019-07-07,12,16,48,55,17,29,23,0,85,0
2019-07-08,14,18,54,48,20,29,30,2,83,0
2019-07-09,15,17,56,47,16,28,33,2,84,0
2019-07-10,15,17,58,44,18,28,28,0,86,0
2019-07-11,16,16,55,49,14,33,29,0,92,0
2019-07-12,14,18,52,51,21,27,29,0,85,0
2019-07-13,14,20,55,62,20,34,29,0,92,0
2019-07-14,14,19,54,48,16,32,25,0,94,0
2019-07-15,15,18,57,45,17,28,30,2,89,0
2019-07-16,15,17,60,46,21,25,33,2,84,0
2019-07-17,16,19,57,47,18,30,29,0,85,0
2019-07-18,16,18,55,49,19,29,31,0,100,0
2019-07-19,13,17,56,52,20,28,31,0,91,0
2019-07-20,13,15,54,56,18,31,22,0,90,0
2019-07-21,15,20,51,52,20,31,25,0,96,0
2019-07-22,14,17,57,51,17,31,33,0,91,0
2019-07-23,14,18,54,49,21,29,33,0,96,0
2019-07-24,13,17,56,46,18,29,28,0,84,0
2019-07-25,14,16,58,48,16,28,28,0,88,0
