date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2023-06-29,3,4,37,12,6,17,0,77,0,0
2023-06-30,6,3,44,15,5,10,0,69,0,23
2023-07-01,4,0,47,21,7,0,0,100,0,37
2023-07-02,3,0,48,10,6,0,0,66,0,43
2023-07-03,5,5,39,10,5,14,0,81,0,35
2023-07-04,5,4,35,8,4,16,0,70,0,57
2023-07-05,4,4,39,31,6,13,0,67,0,58
2023-07-06,4,3,35,14,0,14,0,79,0,67
2023-07-07,4,5,33,18,6,13,0,72,0,56
2023-07-08,6,0,42,16,4,0,0,80,0,59
