date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway
2020-09-14,0,11,44,23,0
2020-09-15,0,11,44,30,0
2020-09-16,0,11,39,66,0
2020-09-17,0,13,28,27,0
2020-09-18,0,9,33,43,0
2020-09-19,0,0,32,30,0
2020-09-20,0,0,29,24,0
2020-09-21,0,14,55,19,8
2020-09-22,0,15,45,21,0
2020-09-23,0,12,52,71,0
2020-09-24,0,9,64,35,0
2020-09-25,0,8,45,54,0
2020-09-26,0,0,46,46,0
2020-09-27,0,0,30,40,0
2020-09-28,0,11,42,27,0
2020-09-29,0,7,45,32,6
2020-09-30,0,12,46,84,0
2020-10-01,0,13,37,35,0
2020-10-02,0,9,45,48,0
2020-10-03,0,0,40,39,0
2020-10-04,0,0,44,25,0
2020-10-05,0,9,38,24,0
2020-10-06,7,13,33,24,0
2020-10-07,0,11,35,82,0
2020-10-08,0,15,40,34,0
2020-10-09,0,10,43,48,0
2020-10-10,0,12,35,46,0
2020-10-11,0,0,37,23,0
2020-10-12,0,9,46,18,0
2020-10-13,0,13,47,21,0
2020-10-14,0,9,38,68,0
2020-10-15,0,9,36,35,0
2020-10-16,0,0,37,49,0
2020-10-17,0,0,30,36,0
2020-10-18,0,0,39,31,10
2020-10-19,0,8,40,12,0
2020-10-20,0,10,41,28,0
2020-10-21,0,7,40,67,0
2020-10-22,0,12,49,29,0
2020-10-23,0,9,44,41,0
2020-10-24,0,0,37,37,7
2020-10-25,0,0,46,36,0
2020-10-26,0,15,52,24,0
2020-10-27,0,14,53,31,0
2020-10-28,0,12,47,91,0
2020-10-29,0,14,53,31,7
2020-10-30,0,11,54,57,0
2020-10-31,0,0,38,43,0
2020-11-01,0,0,57,40,0
2020-11-02,0,0,43,20,0
2020-11-03,0,8,41,27,6
2020-11-04,0,7,37,77,0
2020-11-05,0,8,33,27,0
2020-11-06,0,12,38,35,0
2020-11-07,0,0,42,31,0
2020-11-08,0,0,43,19,0
2020-11-09,0,0,44,20,0
2020-11-10,0,10,38,23,0
2020-11-11,0,13,42,58,0
2020-11-12,0,11,40,28,0
2020-11-13,0,10,33,39,0
2020-11-14,0,0,38,27,0
2020-11-15,0,0,33,30,0
2020-11-16,0,0,41,15,0
2020-11-17,0,10,40,13,0
2020-11-18,0,9,39,64,0
2020-11-19,0,12,54,33,0
2020-11-20,0,8,74,36,0
2020-11-21,0,8,59,32,0
2020-11-22,0,0,54,29,0
2020-11-23,0,9,57,18,0
2020-11-24,0,10,60,19,0
2020-11-25,7,12,77,100,0
2020-11-26,0,13,72,40,0
2020-11-27,0,14,59,55,0
2020-11-28,0,0,61,34,0
2020-11-29,0,0,44,23,0
2020-11-30,0,13,50,25,0
2020-12-01,0,17,50,23,0
2020-12-02,7,23,47,78,0
2020-12-03,0,21,53,30,0
2020-12-04,0,17,49,42,0
2020-12-05,0,8,48,42,0
2020-12-06,0,0,39,24,0
2020-12-07,0,15,35,22,0
2020-12-08,0,17,35,26,0
2020-12-09,0,18,44,67,8
2020-12-10,0,18,47,37,0
2020-12-11,0,18,53,42,7
2020-12-12,0,0,32,31,0
2020-12-13,0,0,40,21,0
2020-12-14,0,15,60,20,0
2020-12-15,0,15,63,42,0
2020-12-16,0,12,72,60,0
2020-12-17,0,20,45,39,0
2020-12-18,0,12,57,50,0
2020-12-19,0,9,43,41,0
2020-12-20,0,0,56,33,0
2020-12-21,0,16,46,31,0
2020-12-22,0,23,58,34,0
2020-12-23,0,12,71,81,0
2020-12-24,0,22,64,60,0
2020-12-25,0,0,74,20,11
2020-12-26,0,0,48,33,0
2020-12-27,0,0,50,34,0
2020-12-28,0,7,58,24,0
2020-12-29,0,7,46,26,0
2020-12-30,0,10,53,66,0
2020-12-31,0,0,48,42,0
2021-01-01,0,0,51,39,0
2021-01-02,0,0,34,31,0
2021-01-03,0,0,42,29,0
